,age,edu_years,hours_per_week,workclass_Federal-gov,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,marital_status_Married-civ-spouse,occupation_Adm-clerical,occupation_Craft-repair,occupation_Exec-managerial,occupation_Farming-fishing,occupation_Other-service,occupation_Prof-specialty,occupation_Sales,occupation_Tech-support,race_Black,race_White,native_country_Europe,native_country_US,age^2,age edu_years,age hours_per_week,age sex_code,edu_years hours_per_week,edu_years sex_code,hours_per_week^2,hours_per_week sex_code,income_code
0,39,13,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1521.0,507.0,1560.0,0.0,520.0,0.0,1600.0,0.0,0
1,50,13,13,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,2500.0,650.0,650.0,0.0,169.0,0.0,169.0,0.0,0
2,38,9,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1444.0,342.0,1520.0,0.0,360.0,0.0,1600.0,0.0,0
3,53,7,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2809.0,371.0,2120.0,0.0,280.0,0.0,1600.0,0.0,0
4,28,13,40,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,784.0,364.0,1120.0,28.0,520.0,13.0,1600.0,40.0,0
5,37,14,40,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1369.0,518.0,1480.0,37.0,560.0,14.0,1600.0,40.0,0
6,49,5,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2401.0,245.0,784.0,49.0,80.0,5.0,256.0,16.0,0
7,52,9,45,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,2704.0,468.0,2340.0,0.0,405.0,0.0,2025.0,0.0,1
8,31,14,50,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,961.0,434.0,1550.0,31.0,700.0,14.0,2500.0,50.0,1
9,42,13,40,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1764.0,546.0,1680.0,0.0,520.0,0.0,1600.0,0.0,1
10,30,13,40,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,900.0,390.0,1200.0,0.0,520.0,0.0,1600.0,0.0,1
11,23,13,30,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,529.0,299.0,690.0,23.0,390.0,13.0,900.0,30.0,0
12,32,12,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1024.0,384.0,1600.0,0.0,600.0,0.0,2500.0,0.0,0
13,34,4,45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1156.0,136.0,1530.0,0.0,180.0,0.0,2025.0,0.0,0
14,25,9,35,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,625.0,225.0,875.0,0.0,315.0,0.0,1225.0,0.0,0
15,32,9,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1024.0,288.0,1280.0,0.0,360.0,0.0,1600.0,0.0,0
16,38,7,50,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1444.0,266.0,1900.0,0.0,350.0,0.0,2500.0,0.0,0
17,43,14,45,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1849.0,602.0,1935.0,43.0,630.0,14.0,2025.0,45.0,1
18,40,16,60,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1600.0,640.0,2400.0,0.0,960.0,0.0,3600.0,0.0,1
19,54,9,20,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2916.0,486.0,1080.0,54.0,180.0,9.0,400.0,20.0,0
20,35,5,40,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1225.0,175.0,1400.0,0.0,200.0,0.0,1600.0,0.0,0
21,43,7,40,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1849.0,301.0,1720.0,0.0,280.0,0.0,1600.0,0.0,0
22,59,9,40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3481.0,531.0,2360.0,59.0,360.0,9.0,1600.0,40.0,0
23,56,13,40,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,3136.0,728.0,2240.0,0.0,520.0,0.0,1600.0,0.0,1
24,19,9,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,361.0,171.0,760.0,0.0,360.0,0.0,1600.0,0.0,0
25,49,9,40,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2401.0,441.0,1960.0,0.0,360.0,0.0,1600.0,0.0,0
26,23,12,52,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,529.0,276.0,1196.0,0.0,624.0,0.0,2704.0,0.0,0
27,20,10,44,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,400.0,200.0,880.0,0.0,440.0,0.0,1936.0,0.0,0
28,45,13,40,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2025.0,585.0,1800.0,0.0,520.0,0.0,1600.0,0.0,0
29,30,10,40,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,900.0,300.0,1200.0,0.0,400.0,0.0,1600.0,0.0,0
30,22,10,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,484.0,220.0,330.0,0.0,150.0,0.0,225.0,0.0,0
31,48,7,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2304.0,336.0,1920.0,0.0,280.0,0.0,1600.0,0.0,0
32,21,10,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,441.0,210.0,840.0,0.0,400.0,0.0,1600.0,0.0,0
33,48,12,40,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,2304.0,576.0,1920.0,0.0,480.0,0.0,1600.0,0.0,0
34,31,5,43,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,961.0,155.0,1333.0,0.0,215.0,0.0,1849.0,0.0,0
35,53,13,40,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,2809.0,689.0,2120.0,0.0,520.0,0.0,1600.0,0.0,0
36,24,13,50,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,576.0,312.0,1200.0,0.0,650.0,0.0,2500.0,0.0,0
37,49,9,40,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2401.0,441.0,1960.0,49.0,360.0,9.0,1600.0,40.0,0
38,25,9,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,625.0,225.0,875.0,0.0,315.0,0.0,1225.0,0.0,0
